text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja,
str_wind_speed,Wind speed,Vindhastighed,Windsnelheid,Vindhastighet,Vindfart,Ταχύτητα ανέμου,Velocità del vento,Windgeschwindigkeit,Velocidad del viento,Vitesse du vent,Wind speed,Vindhastighed,
str_humidity,Humidity,Luftfugtighed,Luchtvochtigheid,Luftfuktighet,Luftfuktighet,Υγρασία,Umidità,Luftfeuchtigkeit,Humedad,Humidité,Humidity,Luftfugtighed,
str_input_custom_location,Input custom location?,Angiv placering,Locatie kiezen?,Ange plats,Input plassering,Εισαγωγή προσαρμοσμένης τοποθεσίας;,Specifica il posizionamento personalizzato,Input Lokalität,Especificar la ubicación personalizada?,Entrer emplacement personnalisé ?,Input custom location?,Angiv placering,
str_current_location,Current location,Nuværende placering,Huidige locatie,Nuvarande plats,Nåværende plassering,Τρέχουσα τοποθεσία,Posizione attuale,Jetzige Lokalität,Ubicación actual,Emplacement actuel,Current location,Nuværende placering,
str_time,Time,Tid,Tijd,Tid,Klokkeslett,Ώρα,Ora,Uhrzeit,Hora,Heure,Time,Tid,
str_air_temperature,Air temperature,Lufttemperatur,Luchttemperatuur,Lufttemperatur,Luftemperatur,Θερμοκρασία αέρα,Temperatura dell'aria,Lufttemperatur,Temperatura del aire,Température de l'air,Air temperature,Lufttemperatur,
str_cloud_cover,Cloud cover,Skydække,Bewolking,Molntäcke,Skydekke,Κάλυχη από σύννεφα,Copertura nuvolosa,Wolkendecke,Cubierto de nubes,Couverture nuageuse,Cloud cover,Skydække,
str_solar_irradiation,Solar radiation,Solstråling,Zonnestraling,Solstrålning,Solbestråling,Ηλιακή ακτινοβολία,Radiazione solare,Sonnenstrahlung,Radiación solar,Rayonnement solaire,Solar radiation,Solstråling,
str_wind10,Windspeed at 10m,Vindhastighed ved 10m,Windsnelheid op 10m,Vindhastighet vid 10m,Vindfart ved 2m,Ταχύτητα ανέμου στα 10 μέτρα,Velocità del vento a 10m,Windgeschwindigkeit bei 2m,Velocidad del viento a 10m,Vitesse du vent à 10m,Windspeed at 10m,Vindhastighed ved 10m,
str_wind2,Windspeed at 2m,Vindhastighed ved 2m,Windsnelheid op 2m,Vindhastighet vid 2m,Vindfart ved 10m,ταχύτητα ανέμου στα 2 μέτρα,Velocità del vento a 2m,Windgeschwindigkeit bei 10m,Velocidad del viento a 2m,Vitesse du vent à 2m,Windspeed at 2m,Vindhastighed ved 2m,
str_globe_temperature,Globe temperature,Globetemperatur,Zwarte boltemperatuur,Globtemperatur,Klodetemperatur,Θερμοκρασία πλανήτη,Temperatura di globo,Temperatur der Erde,Temperatura de globo,Température au thermomètre-globe,Globe temperature,Globetemperatur,
str_mrt,Mean radiant temperature,Gennemsnitlig strålingstemperatur,Gemiddelde stralingstemperatuur,Medelstrålningstemperatur,Gjennomsnittlig strålingstemperatur,Μέση ακτινοβολούμενη θερμοκρασία,Temperatura media radiante,Durchschnittliche Strahlungstemperatur,Temperatura media radiante,Température radiante moyenne,Mean radiant temperature,Gennemsnitlig strålingstemperatur,
str_wbgt,WBGT,WBGT,WBGT,WBGT,WBGT,WBGT,WBGT,WBGT,WBGT (temperatura de globo y bulbo húmedo),WBGT (température au thermomètre-globe mouillé),WBGT,WBGT,
str_wbgt_effective,effective WBGT,Effektiv WBGT,WBGT effectief,Effektiv WBGT,Effektiv WBGT,WBGT αισθητή,WBGT effettiva,Effektive WBGT,WBGT effectiva,WBGT effective,effective WBGT,Effektiv WBGT,
str_aal,Average alert limit,Gennemsnitlig alarmgrænse,Gemiddelde waarschuwingslimiet,Medelvarningsgräns,Gjennomsnittlig varslingsgrense,μέσο,Limite medio di allerta,Durchschnittliche Warnungsgrenze,Límite promedio de alerta,Limite d'alerte moyenne,Average alert limit,Gennemsnitlig alarmgrænse,
str_pal,Personal alert limit,Personlig alarmgrænse,Persoonlijke waarschuwingslimiet,Personlig varningsgräns,Personlig varslingsgrense,Προσωπικός,Limite di allerta personale,Persönliche Warnungsgrenze,Límite de alerta personal,Limite d'alerte personnelle,Personal alert limit,Personlig alarmgrænse,
str_windchill,Windchill,Windchill,Gevoelstemperatuur,Vindkyla,Windchill,Κρύος αέρας,Windchill,Windchill,Windchill,Refroidissement éolien,Windchill,Windchill,
str_mr,Metabolic rate,Stofskifte,Warmteproductie,Metabolism,Metabolsk nivå,Ρυθμός μεταβολισμού,Tasso metabolico,Metabolisches Niveau,Tasa metabólica,Métabolisme,Metabolic rate,Stofskifte,
str_surface_area,Surface area,Overfladeareal,Lichaamsoppervlak,Kroppsyta,Flateareal,Έκταση της επιφάνειας,Area superficiale,Oberflächeninhalt,Área superficial,Superficie,Surface area,Overfladeareal,
str_clo,Clothing insulation,Beklædningsisolans,Kledingisolatie,Klädesisolering,Klesisolasjon,Επένδυση ρούχων,Isolamento dell'abbigliamento,Wärmedämmung der Kleider,Aislamiento de vestimenta,Isolation vestimentaire,Clothing insulation,Beklædningsisolans,
str_wind_permeability,Wind permeability,Beklædningens luftgennemtrængelighed,Winddoorlaatbaarheid,Vindpermeabilitet,Vindpermeabilitet,Διαπερατότητα αέρα,Permeabilità al vento,Windpermeabilität,Permeabilidad al viento,Perméabilité au vent,Wind permeability,Beklædningens luftgennemtrængelighed,
str_evaporative_permeability,Evaporative permeability,Fordampningpermeabilitet,Dampdoorlaatbaarheid,Fuktpermeabilitet,Fordampnings permeabilitet,Διαπερατότητα εξάτμισης,Permeabilità all'evaporazione,Verdampfungspermeabilität,Permeabilidad a la evaporación,Perméabilité à l'eau,Evaporative permeability,Fordampningpermeabilitet,
str_wbgt_iso,Wet Bulb Globe Temperature (WBGT ISO 07243),Wet Bulb Globe Temperature (WBGT ISO07243),Wet Bulb Globe Temperature (WBGT ISO07243),Wet Bulb Globe Temperature (WBGT ISO 07243),Wet Bulb Globe Temperature (WBGT ISO07243),θερμοκρασία θερμομέτρου μαύρης σφαίρας,Temperatura globo bulbo umido (WBGT ISO 07243),Wet Bulb Globe Temperature (WBGT ISO 07243),Temperatura de globo y bulbo húmedo (WBGT ISO 07243),Température au thermomètre-globe mouillé (WBGT ISO 07243),Wet Bulb Globe Temperature (WBGT ISO 07243),Wet Bulb Globe Temperature (WBGT ISO07243),
str_phs_iso,Heat Strain (PHS ISO07933),Varmestress (PHS ISO07933),Hitte stress (PHS ISO07933),Värmestresss (PHS ISO07933),Varmestress,Θερμικές τάσεις (PHS ISO07933),Tensione termica (PHS ISO07933),Hitzeebelastung (PHS ISO07933),Tensión térmica (PHS ISO07933),Contrainte thermique (PHS ISO07933),Heat Strain (PHS ISO07933),Varmestress (PHS ISO07933),
str_windchill_jagti,Exposed skin - Windchill (JAG/TI),Udækket hud - Windchill (JAG/TI),Blootgestelde huid - Gevoelstemperatuur (JAG/TI),Utsatt hud - Vindkyla (JAG/TI),Utsatt hud - windchill (JAG/TI),Εκτεθημένο δέρμα - Windchill (Ψυχρός αέρας) (JAG/TI),Pelle esposta - Windchill (JAG/TI),Exponierte Haut - Windchill (JAG/TI),Piel expuesta - Windchill (JAG/TI),Peau exposée - Température ressentie (JAG/TI),Exposed skin - Windchill (JAG/TI),Udækket hud - Windchill (JAG/TI),
str_ireq_iso,Body temperature - Cold stress (IREQ ISO11079),Kropstemperatur - kuldestress (IREQ ISO11079),Lichaamstemperatuur - Koude stress (IREQ ISO11079),Kroppstemperatur - kylstress (IREQ ISO11079),Kroppstemperatur,Θερμοκρασία σώματος - Ψυχρή καταπόνηση (IREQ ISO11079),Temperatura corporea - Stress termico da freddo (IREQ ISO11079),Körpertemperatur - Kältebelastung (IREQ ISO11079),Temperatura corporal - Estrés térmico al frío (IREQ ISO11079),Température corporelle - Hypothermie (IREQ IS011079),Body temperature - Cold stress (IREQ ISO11079),Kropstemperatur - kuldestress (IREQ ISO11079),
str_min_cloth_level,minimal clothing level,Minimal beklædningsisolans,Minimale kledingsniveau,Minimal klädesnivå,Minimalt klesnivå,ελάχιστο επίπεδο ρουχισμού,Livello di abbigliamento minimo,Minimales Kleidungsniveau,Nivel mínimo de vestimenta,niveau de protection vestimentaire minimal,minimal clothing level,Minimal beklædningsisolans,
str_max_cloth_level,maximal clothing level,Maksimal beklædningsisolans,Maximale kledingsniveau,Maximal klädesnivå,Maksimalt klesnivå,μέγιστο επίπεδο ρουχισμού,Livello di abbigliamento massimo,Maximales Kleidungsniveau,Nivel máximo de vestimenta,niveau de protection vestimentaire maximal,maximal clothing level,Maksimal beklædningsisolans,
str_weather_report,weather report,Vejrudsigt,Weerbericht,Väderrapport,Værmelding,Δελτίο καιρού,Relazione meteo,Wetterbericht,Reporte meteorológico,bulletin météo,weather report,Vejrudsigt,
str_indoor_outdoor_mode,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,intentionally left blank,
str_indoor,Indoor,Indendørs,Binnen,Inomhus,Innendørs,Εσωτερικός,Interno,Innen,Interior,Intérieur,Indoor,Indendørs,
str_outdoor,Outdoor,Udendørs,Buiten,Utomhus,Utendørs,Εξωτερικός,Esterno,Außen,Exterior,Extérieur,Outdoor,Udendørs,
str_wind,Wind,Vind,Wind,Vind,Vind,Άνεμος,Vento,Wind,Viento,Vent,Wind,Vind,
str_update_weather,update weather,opdatér vejrudsigt,Verversen,Uppdatera väder,oppdater vær,Ανανέωση καιρού,aggiorna meteo,wetter aktualisieren,Actualizar el clima,mise à jour météo,update weather,opdatér vejrudsigt,
str_age,Age,Alder,Leeftijd,Ålder,Alder,Ηλικία,Età,Alter,Edad,Âge,Age,Alder,
str_height,Height,Højde,Lengte,Längd,Høyde,Ύψος,Altezza,Höhe,Altura,Taille,Height,Højde,
str_weight,Weight,Vægt,Gewicht,Vikt,Vekt,Βάρος,Peso,Gewicht,Peso,Poids,Weight,Vægt,
str_gender,Sex,Køn,Geslacht,Kön,Kjønn,Φύλο,Genere,Geschlecht,Sexo,Sexe,Sex,Køn,
str_acclimatization,Heat acclimatized,Heat acclimatized,Geacclimatiseerd aan hitte,Värmeacklimatiserad,Heat acclimatized,Heat acclimatized,Heat acclimatized,Heat acclimatized,Heat acclimatized,Heat acclimatized,Heat acclimatized,Heat acclimatized,
str_advanced_personalization,Advanced personalisation,Individualisering (avancerede indstillinger),Geavanceerde instellingen,Avancerad personalisering,Avansert tillpasning,Προχωρημένη εξατομίκευση,Personalizzazione avanzata,Fortschrittliche anpassung,Personalización avanzada,Personnalisation avancée,Advanced personalisation,Individualisering (avancerede indstillinger),
str_reset_preferences,Reset preferences,Nulstil foretrukne,Herstel instellingen,Återställ preferenser,Tilbakestill foretrukne,Επαναφορά προτιμήσεων,Resettare preferenze,Nullstellung der Präferenzen,Restaurar preferencias,Réinitialiser préférences,Reset preferences,Nulstil foretrukne,
str_unit_of_measurement,Units of measurement,Måleenheder,Eenheden,Enheter,Måleenheter,Μονάδα μέτρησεις,Unità di misura,Maßeinheit,Unidad de medida,Unité de mesure,Units of measurement,Måleenheder,
str_unit,Units,Enhed,Eenheid,Enhet,Enhet,Μονάδα,Unità,Einheit,Unidad,Unité,Units,Enhed,
str_units,Units,Enheder,Eenheden,Enheter,Enheter,Μονάδες,Unità,Einheiten,Unidades,Unités,Units,Enheder,
str_notifications,Notifications,Notifikationer,Notificaties,Notifikationer,Varslinger,Ειδοποιήσεις (δε λειτουργεί ακόμα),Notifiche,Benachrichtigung (Funktioniert noch nicht),Notificaciones,Notifications (pas encore fonctionnelles),Notifications,Notifikationer,
str_about,About,Om,Over,Om,Om,Σχετικά με/ Περί,Ulteriori informazioni,Um,Acerca,A propos,About,Om,
str_disclaimer_and_privacy,Disclaimer & privacy,Disclaimer og datahåndtering,Disclaimer & privacy,Villkor & integritet,Ansvarsfraskrivelse og personvern,Όροι χρήσης & προσωπικό απόρρητο,Dichiarazione di non responsabilità & privacy,Verantwortungsverzicht & Privatleben,Descargo de responsabilidad y privacidad,Averetissement & confidentialité,Disclaimer & privacy,Disclaimer og datahåndtering,
str_new_location,New location,Ny placering,Nieuwe locatie,Ny plats,Ny plassering,Νέα τοποθεσία,Nuova posizione,Neue Lokalität,Nueva ubicación,Nouvel emplacement,New location,Ny placering,
str_era4cs,What is the ERA4CS project?,Hvad er ERA4CS-projektet?,Wat is het ERA4CS project,Vad är ERA4CS-projektet?,Hva er ERA4CS-prosjektet?,Ποιο είναι το πρόγραμμα ERA4CS,Cos'è il progetto ERA4CS?,Was ist das ERA4CS-Projekt?,¿Qué es el proyecto ERA4CS?,Qu'est-ce que le projet ERA4CS ?,What is the ERA4CS project?,Hvad er ERA4CS-projektet?,
str_possible_heat_stress,possible heat stress,muligt varmestress,Mogelijk thermische stress,Möjlig värmestress,Mulig varmestress,possible heat stress,Possibile stress termico da caldo,Mögliche Hitzebelastung,posible estrés por calor,possible heat stress,possible heat stress,muligt varmestress,
str_no_stress,Low risk for thermal strain,Low risk for temperature issues,Laag risico,Låg risk för temperaturproblem,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues,Low risk for temperature issues
str_cold_minor,Rising cold risk,Rising cold risk,Stijgend risico voor koude,Ökande risk för kyla,Rising cold risk,Rising cold risk,Rising cold risk,Rising cold risk,Rising cold risk,Rising cold risk,Rising cold risk,Rising cold risk,Rising cold risk
str_cold_significant,High cold risk,High cold risk,Hoog risico voor koude,Hög risk för kyla,High cold risk,High cold risk,High cold risk,High cold risk,High cold risk,High cold risk,High cold risk,High cold risk,High cold risk
str_cold_high,Very high cold risk,Very high cold risk,Zeer hoog risico voor koude,Väldigt hög risk för kyla,Very high cold risk,Very high cold risk,Very high cold risk,Very high cold risk,Very high cold risk,Very high cold risk,Very high cold risk,Very high cold risk,Very high cold risk
str_cold_severe,Severe cold issues imminent,Extreme cold issues imminent,Extreme koude problemen waarschijnlijk,Extrema köldproblem överhängande,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent,Extreme cold issues imminent
str_cold_extreme,Unbearable cold issues imminent,Unbearable cold issues imminent,Ondragelijke kou,Outhärdliga köldproblem överhängande,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent,Unbearable cold issues imminent
str_heat_minor,Rising heat risk,Rising heat risk,Stijgend risico voor hitte problemen,Ökande risk för värme,Rising heat risk,Rising heat risk,Rising heat risk,Rising heat risk,Rising heat risk,Rising heat risk,Rising heat risk,Rising heat risk,Rising heat risk
str_heat_significant,High heat risk,High heat risk,Hoog risico voor hitte problemen,Hög risk för värme,High heat risk,High heat risk,High heat risk,High heat risk,High heat risk,High heat risk,High heat risk,High heat risk,High heat risk
str_heat_high,Very high heat risk,Very high heat risk,Zeer hoog risico voor hitte problemen,Väldigt hög risk för värme,Very high heat risk,Very high heat risk,Very high heat risk,Very high heat risk,Very high heat risk,Very high heat risk,Very high heat risk,Very high heat risk,Very high heat risk
str_heat_severe,Severe heat issues imminent,Extreme heat issues imminent,Extreme hitte problemen waarschijnlijk,Extrema värmeproblem överhängande,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent,Extreme heat issues imminent
str_heat_extreme,Unbearable heat issues imminent,Unbearable heat issues imminent,Ondragelijke hitte,Outhärdliga värmeproblem överhängande,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent,Unbearable heat issues imminent
str_tomorrow,tomorrow,I morgen,morgen,Imorgon,I morgen,αύριο,domani,Morgen,Mañana,demain,tomorrow,I morgen,
weather_sunny_clear,"Sunny, clear sky","Sol, klar himmel","Zonnig, heldere hemel","Soligt, klar himmel","Sol, klar himmel","ηλιόλουστος, καθαρός ουρανός","Sereno, cielo limpido","Sonne, wolkenlos","Soleado, cielo claro","Ensoleillé, ciel dégagé","Sunny, clear sky","Sol, klar himmel",
weather_broken_clouds,Broken clouds,Delvis skyet,Licht bewolkt,Molnigt,Delvis skyet,αραιή συννεφιά,Parzialmente nuvoloso,Teilweis bewölkt,Nubes dispersas,Nuages clairsemés,Broken clouds,Delvis skyet,
weather_overcast_clouds,Overcast,Overskyet,Bewolkt,Mulet,Overskyet,πυκνή συννεφιά,Cielo coperto,Bewölkt,Cielo cubierto con nubes,Ciel couvert,Overcast,Overskyet,
weather_light_rain,Light rain,Let regn,Lichte regen,Duggregn,Lett regn,Ελαφριά βροχή,Pioggia leggera,Leichter Regen,Lluvia ligera,Pluie faible,Light rain,Let regn,
weather_light_rain_overcast,"Light rain, overcast","Let regn, overskyet","Lichte regen, bewolkt","Duggregn, mulet","Lett regn, overskyet","Ελαφριά βροχή, συννεφιά","Pioggia leggera, coperto","Leichter Regen, bewölkt","Lluvia ligera, nublado","Pluie faible, couvert","Light rain, overcast","Let regn, overskyet",
weather_shower_rain,Showers,Tung regn,Regen,Skyfall,Tung regn,Ψιλόβροχο,Acquazzone,Starker Regen,Aguacero,Averses,Showers,Tung regn,
weather_clear,Clear sky,Klart,Heldere hemel,Klart,Klart,Καθαρός ουρανός,Cielo limpido,Klarer Himmel,Cielo claro,Ciel dégagé,Clear sky,Klart,
indoor_open_windows,Open doors/windows,Åbne vinduer,Ramen open,Öppna fönster,Åpne vinduer,Ανοικτά παράθυρα,Finestre aperte,Offene Fenster,Ventanas abiertas,Fenêtres ouvertes,Open doors/windows,Åbne vinduer,
indoor_no_open_windows,No open doors/windows,Ingen åbne vinduer,Ramen dicht,Inga öppna fönster,Ingen åpne vinduer,Κλειστά παράθυρα,Nessuna finestra aperta,Keine offenen Fenstern,Ventanas cerradas,Pas de fenêtres ouvertes,No open doors/windows,Ingen åbne vinduer,
str_yes,Yes,Ja,Ja,Ja,Ja,Ναι,Sì,Ja,Si,Oui,Yes,Ja,
str_no,No,Nej,Nee,Nej,Nei,Όχι,No,Nein,No,Non,No,Nej,
str_saved_location,Saved location,Gemt placering,Opgeslagen locatie,Sparad plats,Lagret plassering,Αποθηκευμένη τοποθεσία,Posizione salvata,Gelagerte Lokalitäten,Ubicación guardada,Emplacement enregistré,Saved location,Gemt placering,
str_years,years,år,jaar,År,år,χρόνια,Anni,Jahre,Años,années,years,år,
str_activity_level,Activity level,Aktivitetsniveau,Activiteitsniveau,Aktivitetsnivå,Aktivitetsnivå,Επίπεδο δραστηριότητας,Livello di attività,Aktivitätsebene,Nivel de actividad,Niveau d'activité,Activity level,Aktivitetsniveau,
str_clothing_level,Clothing level,Beklædningsniveau,Kledingsniveau,Klädesnivå,Klesmengde,Επίπεδο ρουχισμού,Livello di abbigliamento,Kleidungsniveau,Nivel de vestimenta,Niveau de protection vestimentaire,Clothing level,Beklædningsniveau,
str_try_again,Try again?,Prøv igen?,Opnieuw?,Försök igen?,Prøve igjen?,Προσπαθήστε ξανά;,Provare ancora?,Noch mal versuchen?,¿Volver a probar?,Réessayer ?,Try again?,Prøv igen?,
str_app_version,App version,App version,App versie,Appversion,Appversjon,Έκδοση εφαρμογής,Versione dell'app,Appversion,Versión de la App,Version de l'app,App version,App version,
str_kb_version,Knowledgebase version,Version af database,Kennisbasis versie,Version av kunskapsbas,Versjon av kunnskapsbase,Knowledgebase έκδοση,Database,Version der Wissensbase,Versión de la base del conocimiento,Version de la base de connaissances,Knowledgebase version,Version af database,
str_male,Male,Mand,Man,Man,Mann,Άντρας,Maschio,Mann,Masculino,Homme,Male,Mand,
str_female,Female,Kvinde,Vrouw,Kvinna,Kvinne,Γυναίκα,Femmina,Frau,Femenino,Femme,Female,Kvinde,
str_your_predicted_score,Your predicted score,Din estimeredescore,Voorspelde score,Ditt förväntade värde,Din forutsagte verdi,Η προβλεπόμενη βαθμολογία σας,Il tuo punteggio previsto,Ihre vorausgesate Punktzahl,Su puntaje predicho,Votre score attendu,Your predicted score,Din estimeredescore,
str_personal,Personal,Personlig,Persoonlijk,Personlig,Personlig,Προσωπικός,Personale,Persönlich,Personal,Personnel,Personal,Personlig,
str_alert_level,alert limit,alarmgrænse,waarschuwingslimiet,Varningsgräns,Alarmgrense,όριο ασφάλειας,limite di allerta,Alarmgrenze,Límite de alerta,limite d'alerte,alert limit,alarmgrænse,
str_use_indoor_mode,Use indoor mode?,Slå indendørtilstand til?,Voor binnen gebruiken?,Använda inomhusläget?,Bruk innemodus?,Χρήση εσωτερικής λειτουργίας;,Utilizzare la modalità interna?,Innenmodus anwenden?,¿Usar modo interior?,Utiliser le mode intérieur ?,Use indoor mode?,Slå indendørtilstand til?,
str_cold_index,ClimApp Index,ClimApp temp Indeks,Climapp Index,Kylindex,ClimApp Index,Cold index,ClimApp Index,ClimApp Index,ClimApp Index,ClimApp Index,ClimApp Index,ClimApp temp Indeks,
str_heat_index,ClimApp Index,ClimApp temp Indeks,Climapp Index,Värmeindex,ClimApp Index,Heat index,ClimApp Index,ClimApp Index,ClimApp Index,ClimApp Index,ClimApp Index,ClimApp temp Indeks,
str_indoor_temperature,Indoor temperature,Indendørs Temperatur,Binnen temperatuur,Inomhustemperatur,Temperature,Temperature,Temperatura interna,Innentemperatur,Temperatura interior,Temperature,Indoor temperature,Indendørs Temperatur,
str_temperature,Temperature,Temperatur,Temperatuur,Temperatur,Temperature,Temperature,Temperatura,Temperature,Temperatura,Temperature,Temperature,Temperatur,
