text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja
about_climapp_team,"The entire app is made possible by all contributions by the ClimApp Team
","Denne APP er udviklet med bidrag fra alle i ClimApp Teamet
",De app is mogelijk gemaakt door de bijdrages van het gehele ClimApp Team,Appen i sin helhet har förverkligats genom insatser från ClimApp-teamet,"The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
",L'intera app è stata resa possibile da tutti i contributi del Team ClimApp,"The entire app is made possible by all contributions by the ClimApp Team
","Toda la aplicación es posible gracias a todas las contribuciones del equipo ClimApp
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
"
forecast_desc_heat,The forecast of your personal expected heat stress is shown below,Udsigt for kommende timer med dit personlige indeks er vist nedenunder.,De voorspelling van uw persoonlijke verwachte hitte-stress is hieronder weergegeven,Prognosen för din personliga förväntade värmestress visas nedanför,Prognosen for din personlige forventede varmestress vises nedenfor.,Η πρόγνωση της αναμενόμενης προσωπικής σας θερμικής καταπόνησης φαίνεται παρακάτω.,La previsione del tuo personale stress termico da caldo è mostrata qui sotto.,Die Prognose Ihrer erwarteten Hitzebelastung wird hierunten vorgezeigt.,El pronóstico de tu estrés por calor personal esperado se muestra abajo,La prévision de votre stress hyperthermique personnel attendu est montré ci-dessous.,The forecast of your personal expected heat stress is shown below,The forecast of your personal expected heat stress is shown below
forecast_desc_cold,The forecast of your personal expected cold stress is shown below,Udsigt for kommende timer med dit personlige indeks er vist nedenunder.,De voorspelling van uw persoonlijke verwachte koude-stress is hieronder weergegeven,Prognosen för din personliga förväntade kylstress visas nedanför,-,-,La previsione del tuo personale stress termico da freddo è mostrata qui sotto.,-,El pronóstico de tu estrés por frío personal esperado se muestra abajo,-,The forecast of your personal expected cold stress is shown below,The forecast of your personal expected cold stress is shown below
forecast_disclaimer,The bandwidth corresponds to uncertainty for the heat of the sun due to clouds.,Bredere områder indikerer forventet variation i varmebelastningen pga. skyer.,De bandbreedte komt overeen met de onzekerheid van de warmte van de zon door de wolken,Bredden motsvarar osäkerheten i uppvärmning från solen på grund av moln.,De bredere områdene svarer til usikkerheten for solvarmen på grunn av skyer.,Το εύρος ζώνης αντιστοιχεί στην αβεβαιότητα για τη θερμότητα του ήλιου που λόγω των συννέφων.,La larghezza della barra corrisponde all’incertezza sul calore del sole dovuto alle nuvole.,Die Bandbreite enspricht die Unsicherheit der Hitze von der Sonne wegen der Wolken.,El ancho de banda corresponde a la incertidumbre producida por el calor del sol debido a la nubosidad del cielo ,La largeur de la bande correspond à l'incertitude sur la chaleur du soleil à cause des nuages.,The bandwidth corresponds to uncertainty for the heat of the sun due to clouds.,The bandwidth corresponds to uncertainty for the heat of the sun due to clouds.
feedback_tap_adjust,Tap the buttons to adjust the gauge to your thermal experience.,"Tryk på knapperne for at tilpasse indikator så det svarer til, hvordan du oplever vejret.",Klik op de knoppen om de meter aan te passen naar uw thermische ervaring.,Tryck på knapparna för att justera mätaren till din termiska upplevelse.,Trykk på knappene for å justere måleren til din termiske opplevelse.,Πατήστε τα κουμπιά για να προσαρμόσετε το μετρητή στις θερμικές σας συνθήκες,Premi i pulsanti per regolare il misuratore alla tua esperienza termica.,Drücken Sie auf die Knöpfe um den Messer an Ihre thermische Erlebnis zu passen.,Haz click en los botones para ajustar el medidor a tu experiencia térmica.,Appuyer sur les boutons pour ajuster le niveau à votre expérience thermique.,Tap the buttons to adjust the gauge to your thermal experience.,Tap the buttons to adjust the gauge to your thermal experience.
feedback_adaptation_score,Your personal adaptation score,"Din personlige ""tilpasningsfaktor""",Uw persoonlijke aanpassingsscore,Din personliga anpassningssumma,Din personlige tilpasningsscore,Το προσωπικό σου σκορ προσαρμογής,Il tuo punteggio personale di adattamento,Ihre persönliche Anpassungspunktzahl,Tu puntaje de adaptación personal,Votre score personnel d'adaptation,Your personal adaptation score,Your personal adaptation score
disclaimer_under_development,Several new features will be implemented over the course of the next two years. Therefore all users should be informed that frequent updates and changes to the layout and content might occur.,"Denne applikation er stadig under udvkling. Nye funktionaliteter vil blive tilføjet -  af denne årsag informerer vi brugeren om, at hyppige opdateringer og ændringer til indhold og design kan forekomme.",Verschillende nieuwe functies zullen geïmplementeerd worden de komende twee jaar. Alle gebruikers zouden geïnformeerd moeten zijn dat er regelmatig updates en veranderingen optreden van de layout en de inhoud.,Flera funktioner kommer att implementeras under de kommande två åren. Därför bör alla användare informeras om att frekventa uppdateringar och förändringar till layout och innehåll kan inträffa.,Denne applikasjonen er fortsatt under utvikling. Flere nye funksjoner blir implementert i løpet av de neste to årene. Derfor informeres brukere om at hyppige oppdateringer og endringer i layout og innhold kan forekomme.,Η εφαρμογή βρίσκεται ακόμα υπό ανάπτυξη. Κάποια καινούργια στοιχεία θα εφαρμοστούν κατά τη διάρκεια των επόμενων δύο χρόνων. Γι' αυτό όλοι οι χρήστες θα πρέπει να πληροφορηθούν ότι συχνές αλλαγές και ενημερώσεις μπορεί να γίνουν στη διάταξη και το περιεχόμενο.,Molte nuove funzionalità saranno implementate durante i prossimi due anni. Informiamo pertanto tutti gli utenti che potrebbero essere effettuati frequenti aggiornamenti e cambi al layout ed al contenuto,"Diese Applikation ist weiterhin in Entwicklung. Mehere neue Funktionen werden im Laufe der nächsten zwei Jahren implementiert. Deswegen wird der Benutzer darum informiert, dass häufige Aktualisierungen und Änderungen in Layout und Inhalt vorkommen können.","Se implementarán varias características nuevas en el transcurso de los próximos dos años. Por lo tanto, todos los usuarios deben estar informados de que pueden ocurrir actualizaciones frecuentes y cambios en el diseño y el contenido.","Cette application est encore en cours de développement. De nombreuses nouvelles fonctionnalités seront ajoutées au cours des deux prochaines années. Par conséquent, tous les utilisateurs doivent être informés que des mises à jour fréquentes et des changements de la mise en page et du contenu peuvent avoir lieu.",Several new features will be implemented over the course of the next two years. Therefore all users should be informed that frequent updates and changes to the layout and content might occur.,Several new features will be implemented over the course of the next two years. Therefore all users should be informed that frequent updates and changes to the layout and content might occur.
disclaimer_era4cs,"The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in this app is provided on an “as is” basis with no guarantees of completeness, accuracy, usefulness or timeliness.","Det Europæiske Forskningsområde for Klimaservices (ERA4CS) og dennes partnere tager intet ansvar for fejl eller mangler i indholdet af denne app. Informationen er givet på en ""as-is"" basis uden garanti for fuldkommenhed, nøjagtighed, brugbarhed eller aktualitet.","De European Research Area for Climate Services (ERA4CS) en partners zijn niet verantwoordelijk of aansprakelijkheid voor eventuele onjuistheden of missende informatie in de inhoud van de applicatie. De informatie in deze app wordt gegeven op een 'zoals het is' basis met geen garanties dat het compleet, accuraat, nuttig of tijdloos is.","European Research Area for Climate Services (ERA4CS) och dess partners tar ej ansvar eller skyldigheter för fel eller försummelse av innehåll i denna applikation. Informationen tillhandahålls ""som den är"" -basis utan garantier för fullständighet, noggrannhet, användbarhet eller aktualitet.","Det europeiske forskningsområdet for klimatjenester (ERA4CS) og dets partnere påtar seg intet ansvar for eventuelle feil eller mangler i innholdet i denne applikasjonen. Informasjonen i denne appen blir gitt på en ""as-is"" basis uten garantier for fullstendighet, nøyaktighet, brukbarhet eller aktualitet.","Ο Ευρωπαϊκός Ερευνητικός Χώρος για τις Κλιματικές Υπηρεσίες (ERA4CS) και οι συνεργάτες τους δεν έχουν καμία ευθύνη για τα όποια λάθη ή παραλείψεις στο περιεχόμενο της εφαρμογής. Οι πληροφορίες που περιέχονται σε αυτήν την εφαρμογή παρέχονται ""ως έχουν"" χωρίς εγγυήσεις πληρότητας, ακρίβειας, χρησιμότητας ή επικαιρότητας.","L’area di ricerca europea per i servizi climatici (ERA4CS) e i suoi partner non si assumono alcuna responsabilità od obbligazione per ogni errore od omissione nel contenuto di questa applicazione. Le informazioni contenute in questa app sono fornite “così come sono” senza alcuna garanzia di completezza, accuratezza, utilità o tempismo.","Das ""European Research Area for Climate Services"" (ERA4CS) und seine Partner nehmen keine Verantwortung für eventuelle Fehler und Mängel im Inhalt dieser Applikationen an. Die Informationen in dieser App werden auf ein ""as-is""-basis ohne Garantien für Vollständigkeit, Genauigkeit, Verwenbarkeit oder Aktualität gegeben","El Área Europea de Investigación para los Servicios Climáticos (ERA4CS) y sus socios no asumen ninguna responsabilidad u obligación por cualquier error u omisión en el contenido de esta aplicación. La información contenida en esta app se proporciona ""tal como está"", sin garantías de integridad, exactitud, utilidad u oportunidad.","Le centre européen de recherche pour les services climatiques (ERA4CS) et ses partenaires ne prennent aucune responsabilité ou engagement en cas d'erreurs ou d'omissions dans le contenu de cette application. Les informations contenues dans cette app sont fournies telles qu'elles sans garantie d'exhaustivité, d'exactitude, d'utilité ou de ponctualité.","The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in this app is provided on an “as is” basis with no guarantees of completeness, accuracy, usefulness or timeliness.","The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in this app is provided on an “as is” basis with no guarantees of completeness, accuracy, usefulness or timeliness."
disclaimer_privacy_policy,"Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement","Læs venligst vores <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> privatlivspolitik (Engelsk).","De privacyverklaring kunt u hier lezen <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">","Vänligen läs vår <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> sekretesspolicy.","Vennligst les <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> personvernerklæringen","Παρακαλούμε να διαβάσετε τη <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> δήλωση για την προστασία των προσωπικών δεδομένων.","Si prega di leggere la nostra <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">informativa sulla privacy","Lesen Sie bitte unsere <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">Privatlebenerklärung","Por favor lee nuestra <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">declaración de privacidad","Veuillez lire notre <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">déclaration de confidentialité","Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement","Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement"
details_wbgt_desc_1,The expected effective WBGT,Den forventede effektive WBGT,De verwachte effectieve WBGT,Den förväntade effektiva WBGT,Den forventede effektive WBGT,Το αναμενόμενο ισχύων,L'effettiva WBGT attesa,Die erwartete effektive WBGT,El esperado WBGT efectivo,La WBGT effective prévue,The expected effective WBGT,The expected effective WBGT
details_wbgt_desc_2,and based on your activity level the Recommended Alert Limit is,og baseret på dit aktivitetsniveau er den anbefalede alarmgrænse,En gebaseerd op uw acitiviteitsniveau is het geadviseerde limiet,och baserat på din aktivitetsnivå är den rekommenderade varningsgränsen,og basert på aktivitetsnivået ditt er anbefalt varselgrense,και με βάση το επίπεδο της δραστηριότητά σας το Προτεινόμενο Όριο Ασφαλείας είναι,e il Limite d’Allerta Suggerito basato sul tuo livello di attività è,und basiert auf Ihrer Aktivitätsebene empfehlen wir eine Warnungsgrenze,"y basado en tu nivel de actividad, el límite de alerta recomendado es","et basée sur votre niveau d'activité, la limite d'alerte recommandée est",and based on your activity level the Recommended Alert Limit is,and based on your activity level the Recommended Alert Limit is
details_phs_desc_1,"Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in ","Givet din aktivitet, det tøj du har på og de omgivelser du befinder dig i, vil din krops kernetemperatur overstige 38&#xb0;C om","Gezien uw metabolisme, kleding en thermische omgeving wordt er verwacht dat uw kerntemperatuur hoger zal zijn dan 38&#xb0;C in","Baserat på din metabolism, kläder och termiska miljö så förväntas din djupkroppstemperatur att stiga över 38&#xb0;C om","Med stoffskiftet, klærne og det termiske miljøet ditt forventes kroppstemperaturen din å overstige 38#xb0;C om","Δεδομένου του ρυθμού μεταβολισμού, του επιπέδου ένδυσης και του θερμικού περιβάλλοντος, η θερμοκρασία του πυρήνα του σώματος σας αναμένεται να ξεπεράσει τους 38&#xb0;C σε","Dato il tuo tasso metabolico, il tuo abbigliamento e l’ambiente termico, la tua temperatura corporea interna dovrebbe superare i 38&#xb0;C","Von Ihren Stoffwechsel, Kleider und  thermischen Umgebung wird es Ihrer Körpertemperatur erwartet eine Temperatur von 38&#xb0;C innerhalb von","Dada tu tasa metabólica, vestimenta y ambiente térmico, se espera que la temperatura central de tu cuerpo supere 38&#xb0; en C","Etant donnés votre métabolisme, vêtements et environnement thermique, il est prévu que votre température corporelle dépasse 38&#xb0;C dans","Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in ","Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in "
details_phs_desc_2,minutes. Your sweat rate is approximately,minutter. Din svedrate er ca.,minuten. De hoeveelheid zweet dat u verliest is ongeveer,minuter. Din vätskeförlust är ca.,minutter. Svettehastigheten din er omtrent,λεπτά. Ο βαθμός που ιδρώνετε είναι περίπου,minuti. Il tuo tasso di sudorazione è approssimativamente,Minuten zu überschreiten. Ihre Schweißgeschwindigkeit ist ungfähr,minutos. Tu tasa de sudoración es aproximadamente,minutes. Votre taux de transpiration est d'environ,minutes. Your sweat rate is approximately,minutes. Your sweat rate is approximately
details_phs_desc_3,liter per hour.,liter per time.,liter per uur,liter per timme.,liter per time.,λίτρα την ώρα.,litri all'ora,Liter per Stunde,litros por hora.,litre par heure.,liter per hour.,liter per hour.
details_windchill_desc_1,The Windchill index is ,Windchill indekset er,De Windchill index is,Vindkyla-indexet är,Windchill indekset er,Το Windchill index είναι,L'indice di Windchill è,Der Windchill-Index ist,El índice Windchill es,L'index de refroidissement éolien est,The Windchill index is ,The Windchill index is 
details_windchill_desc_2,which means that there is ,", hvilket betyder at der er",Wat betekent dat er is,vilket betyder att det är,som betyr at det er det,το οποίο σημαίνει ότι είναι,che significa che è presente,"was bedeutet, dass es ",lo que significa que hay,ce qui signifie qu'il y a ,which means that there is ,which means that there is 
details_ireq_desc,In cold weather it is important to:,I koldt vejr er det vigtigt at:,In de kou is het belangrijk om:,I kallt väder är det viktigt att:,I kaldt vær er det viktig å:,Σε κρύο καιρό είναι σημαντικό να:,Quando il clima è freddo è importante:,In kaltes Wetter ist es wichtig zu:,En climas frios es importante:,Par temps froid il est important de :,In cold weather it is important to:,In cold weather it is important to:
