text_id,key2,key3,en,da,nl,sv,no,el,it,de,es,fr,et,ja
activity,label,intense,Severe,Intens,"Intens
",Intensivt,Intens,Έντονη,Intenso,Intensiv,Intenso,Intense,Severe,Severe
clothing,title,,What type of clothing are you wearing?,Hvilken type tøj har du på?,Wat voor type kleding draagt u,Vilken typ av kläder har du på dig?,Hva slaggs klær har du på?,Ποιο είναι το είδος της ενδυμασίας που φοράτε;,Che tipo di indumenti stai indossando?,Welche Art von Kleider tragen Sie?,¿Qué tipo de ropa llevas puesto?,Quel type de vêtements portez-vous ?,What type of clothing are you wearing?,What type of clothing are you wearing?
clothing,description,Summer_attire,"Loose-fitting, short clothing. Typical for summer.","Løst siddende tøj, lette lag. Typisk for sommervejr.","Los zittende, korte kleding. Typisch voor de zomer
","Löst sittande, korta plagg. Typiska för sommaren.","Løse klær, shorts og kjoler. Typiske sommerklær.","Φαρδιά, κοντά ρούχα. Συνηθισμένα για το καλοκαίρι.","Vestiti larghi, vestiti corti. Tipici dell'estate.","Lose Kleider, kurze Kleider, typisch für Sommer",Ropa holgada o corta. Típico para el verano.,"Vêtements amples, courts. Typique pour l'été.","Loose-fitting, short clothing. Typical for summer.","Loose-fitting, short clothing. Typical for summer."
clothing,description,Casual_business,"Casual attire, common in informal settings","Casual attire, common in informal settings","Informele kleding, kleding dat gewoonlijk gedragen wordt in een informele situatie.",Vardagliga kläder. Typiska för informella situationer.,"Uformellt antrekk, vanlig i uformelle situasjoner.","Casual attire, common in informal settings","Abbigliamento casual, vestiti comuni in ambienti informali","Casual attire, common in informal settings","Casual attire, common in informal settings","Casual attire, common in informal settings","Casual attire, common in informal settings","Casual attire, common in informal settings"
clothing,description,Business_suit,Regular business suit. Clothing common in offices.,"Jakkesæt, bukser og langærmet sweat-shirt eller lignende; kontorpåklædning",Standaard pak. Kleding dat gewoonlijk gedragen wordt op kantoor,Kostym. Typiska kläder för kontor.,"Jobbklær som dress, vanlig på kontorer.",Επαγγελματικά κουστούμια. Πιο συχνά σε γραφεία.,Completo regolare da business. Comune negli uffici.,Normaler Business-Anzug. Normal in Büros.,Traje regular de negocios. Ropa común en oficinas.,Costume d'affaires classique. Plus commun dans les bureaux.,Regular business suit. Clothing common in offices.,Regular business suit. Clothing common in offices.
clothing,description,Double_layer,Generally taken to be coveralls over work clothes.,Heldragt eller andet ekstra lag uden på arbejdstøj,Overall over werkkleding.,Överdragskläder över arbetskläder.,Heldrakt ud over jobbklær.,Προστατευτικές φόρμες πάνω από τα ρούχα της δουλειάς.,In genere vengono considerate come tute da meccanico che si usano sopra i vestiti da lavoro,Normalerweise oben über Arbeitskleider getragen.,Generalmente se considera como un overol que se usa sobre ropa de trabajo.,Généralement considéré comme combinaison au dessus des vêtements de travail.,Generally taken to be coveralls over work clothes.,Generally taken to be coveralls over work clothes.
clothing,description,Cloth_coverall,Woven fabric that includes treated cotton.,"Vævet stof, bomuld.",Gewoven stof met bewerkt katoen.,"Vävt tyg, bomull.","Vevet stoff, bomuld.",Υφαντό ύφασμα που περιλαμάνει επεξεργασμένο βαμβάκι,Tessuto intrecciato che comprende il cotone trattato.,"Gewobener Stoff, inklusive behandelte Baumwolle.",Tejido que incluye algodón tratado.,Tissu tissé contenant du coton traité.,Woven fabric that includes treated cotton.,Woven fabric that includes treated cotton.
clothing,description,Cloth_apron_long_sleeve,The wrap-around apron configuration was designed to protect the front and sides of the body against spills from chemical agents.,Heldragt/beskyttelsestøj som dækker større dele af kroppen (fx arbejdstøj til kemisk eller mekanisk beskyttelse).,?,Skyddande förkläde som täcker större delen av fram och sidor av kroppen mot spill av kemiska substanser.,Heldragt og forkle som beskytter kroppens front of sider.,Διαμορφωμένη περιτύλιξη που σχεδιάστηκε για να προστατεύει το μπροστινό μέρος και τα πλευρά του σώματος από τις διαρροές χημικών.,La configurazione del grembiule è stata progettata per proteggere la parte anteriore e i lati del corpo da versamenti di agenti chimici.,"Die Wickelschürzen-Konfiguration wurde entwickelt, um die Vorderseite und Seiten des Körpers vor dem Austreten chemischer Substanzen zu schützen.",La configuración envolvente del delantal fue diseñada para proteger el frente y los lados del cuerpo contra derrames de agentes químicos.,Le tablier de protection a été conçu pour protéger l'avant et les côtés du corps de renversements de produits chimiques.,The wrap-around apron configuration was designed to protect the front and sides of the body against spills from chemical agents.,The wrap-around apron configuration was designed to protect the front and sides of the body against spills from chemical agents.
clothing,description,Vapour_barrier_coverall,Vapour-barrier clothing in a single layer.,Tøj med regn/vandbeskyttende barriere (uden på almindelig beklædning),Eén laag waterafstotende kleding,Vattenavvisande material i ett lager.,Klær i ett lag med dampbarriere,Αδιάβροχη ενδυμασία με μια μόνο στρώση.,Indumenti con barriera al vapore in un unico strato.,Kleider in einer Schicht mit Dampfbarriere,Ropa de una sola capa que actua como barrera de vapor.,Vêtements pare-vapeur simple couche,Vapour-barrier clothing in a single layer.,Vapour-barrier clothing in a single layer.
clothing,description,Winter_attire,"Winter clothing, multiple layers including a thick coat.",Vintertøj med flere lag - inklusiv tyk frakke eller lignende,"Winter kleding, meerdere lagen inclusief een dikke jas","Vinterkläder, flera lager inklusive tjock rock.","Vinterklær, flere lag inkludert en tykk frakk.","Χειμερινά ρούχα, πολλαπλά στρώματα μαζί με ένα χοντρό. παλτό","Indumenti invernali, diversi strati che includono un cappotto spesso.","Winterkleidung, mehrere Schichten inklusive eine Winterjacke.","Ropa de invierno, varias capas, incluido un abrigo grueso.","Vêtements d'hiver, multiples couches incluant un manteau épais.","Winter clothing, multiple layers including a thick coat.","Winter clothing, multiple layers including a thick coat."
clothing,label,Summer_attire,Summer attire,Sommertøj,Zomer kleding,Sommarklädsel,Sommerklær,Καλοκαιρινή ενδυμασία,Abbigliamento estivo,Sommerkleidung,Vestimenta de verano,Tenue d'été,Summer attire,Summer attire
clothing,label,Casual_business,Casual attire,casual beklædning (et lag),Casual kleding,Vardaglig klädsel,Uformellt antrekk,Casual attire,Abbigliamento casual,Casual attire,Casual attire,Casual attire,Casual attire,Casual attire
clothing,label,Business_suit,Business suit,"Arbejdstøj, jakkesæt",Pak,Kostym,"Jobbklær, dress",Επαγγελματικό κουστούμι,"Abito da lavoro, completo",Arbeitskleidung,Traje de oficina,Costume d'affaires,Business suit,Business suit
clothing,label,Double_layer,Double layer,Tøj i to lag,Dubbele laag,Dubbellager,Klær i to lag,Διπλή στρώση,Strato doppio,Kleidung in zwei Schichten,Doble capa,Double couche,Double layer,Double layer
clothing,label,Cloth_coverall,Cloth coverall,Overtrækstøj,Stoffen coverall,Overall i tyg,Kjeledress i stoff,Ολόσωμη φόρμα,Tuta in stoffa (tuta da meccanico),Stoffoverall,Overol de tela,Combinaison,Cloth coverall,Cloth coverall
clothing,label,Cloth_apron_long_sleeve,Apron over coverall,Overtrækstøj med ekstra beskyttelse/vandtæt lag,Schort over coverall,Förkläde över overall,Kjeledress med forkle,Ολόσωμη φόρμα με ποδιά,Grembiule sopra la tuta,Overall mit Schürze,Delantal sobre overol,Tablier au dessus d'une combinaison,Apron over coverall,Apron over coverall
clothing,label,Vapour_barrier_coverall,Vapour-barrier coverall,Overtrækstøj (regntøj eller lignende vandbeskyttende),Waterafstotende coverall,Vattenavvisande overall,Kjeledress med dampsperre,Αδιάβροχη ολόσωμη φόρμα,Tuta con barriera al vapore,Overall mit Dampfbarriere,Overol de barrera de vapor,Combinaison pare-vapeur,Vapour-barrier coverall,Vapour-barrier coverall
clothing,label,Winter_attire,Winter attire,Vintertøj,Winter kleding,Vinterklädsel,Vinterklær,Χειμερινή ενδυμασία,Abbigliamento invernale,Winterkleidung,Ropa de invierno,Tenue d'hiver,Winter attire,Winter attire
settings,age,title,In what year were you born?,Hvilket år blev du født?,In welk jaar bent u geboren?,Vilket år är du född?,I hvilket år ble du født?,Ποια είναι η ηλικία σας;,Quanti anni hai?,Wie alt sind Sie?,¿En que año naciste?,Quel est votre âge ?,In what year were you born?,In what year were you born?
settings,height,title,How tall are you?,Hvor høj er du?,Wat is uw lengte?,Hur lång är du?,Hvor høy er du?,Πόσο ψηλός είσαι;,Quanto sei alto/a?,Wie hoch sind Sie?,¿Cuánto mides?,Quelle est votre taille ?,How tall are you?,How tall are you?
settings,weight,title,How much do you weigh?,Hvor meget vejer du?,Wat is uw gewicht?,Hur mycket väger du?,Hvor mye veier du?,Ποιο είναι το βάρος σας;,Quanto pesi?,Was ist Ihr Gewicht?,¿Cuánto pesas?,Quel est votre poids ?,How much do you weigh?,How much do you weigh?
settings,gender,title,What is your sex?,Hvilket køn er du?,Wat is uw geslacht?,Vilket kön är du?,Hvilket kjønn er du?,Ποιο είναι το φύλο σας;,Qual è il tuo genere?,Was ist Ihr Geschlecht?,¿Cuál es tu género?,Quel est votre sexe ?,What is your sex?,What is your sex?
settings,unit,title,Which units of measurement would you prefer?,Hvilket enheder foretrækker du?,Aan welke meeteenheden geeft u de voorkeur?,Vilka enheter föredrar du?,Hvilke enheter foretrekker du?,Ποιες μονάδες μέτρησεις προτειμάτε;,Che unità di misura preferisci?,Welche Einheiten vorziehen Sie?,¿Qué unidades de medida prefieres?,Quelles unités de mesure préférez-vous ?,Which units of measurement would you prefer?,Which units of measurement would you prefer?
settings,thermostat_level,title,"Thermostat level?
","Thermostat indstilling (level)
",Thermostaat niveau?,Termostat nivå?,"Thermostat level?
","Thermostat level?
","Thermostat level?
",Thermostatniveau?,"Nivel del termostato?
","Thermostat level?
","Thermostat level?
","Thermostat level?
"
settings,open_windows,title,Are there any open windows in the room?,Er der nogle åbne vinduer i rummet?,Zijn er open ramen in de kamer?,Är det några öppna fönster i rummet?,Finns det noen åpne vinduer i rommet?,Υπάρχουν καθόλου ανοικτά παράθυρα στο δωμάτιο;,Ci sono finestre aperte nella tua stanza?,Gibt es offene Fenster im Raum?,¿Hay ventanas abiertas en la habitación?,Y a-t-il des fenêtres ouvertes dans la pièce ?,Are there any open windows in the room?,Are there any open windows in the room?
settings,_temperature,title,Indoor temperature?,indendørs temperatur?,Binnen temperatuur?,Inomhustemperatur?,Innetemperatur?,Indoor temperature?,Indoor temperature?,Innentemperatur?,Temperatura interior?,Indoor temperature?,Indoor temperature?,Indoor temperature?
settings,windspeed,title,Input the windspeed you would like to use,Angiv den vindhastighed du vil bruge,Vul de windsnelheid in die u wilt gebruiken,Ange vindhastigheten som du vill använda,Spesifiser den vindfarten du ønsker å bruke,Εισάγεται την ταχύτητα του ανέμου που θα θέλατε να χρησιμοποιήσετε,Specificare la velocità del vento che si desidera utilizzare,"Geben Sie die Windgeschwindigkeit ein, die Sie verwenden wollen",Ingresa la velocidad del viento que te gustaría usar,Entrer la vitesse du vent que vous souhaitez utiliser,Input the windspeed you would like to use,Input the windspeed you would like to use
settings,_humidity,title,Input the humidity you would like to use,Angiv den luftfugtighed du kunne tænke dig at benytte,Vul de luchtvochtigheid in die u wilt gebruiken,Ange luftfuktigheten som du vill använda,Spesifiser den luftfuktigheten du ønsker å bruke,Εισάγεται την υγρασία που θα θέλατε να χρησιμοποιήσετε,Specificare l'umidità che si desidera utilizzare,"Geben Sie die Luftfeuchtigkeit ein, die Sie verwenden wollen",Ingresa la humedad exterior que te gustaría usar,Entrer l'humidité que vous souhaitez utiliser,Input the humidity you would like to use,Input the humidity you would like to use
headgear,title,,Are you wearing any headgear?,Bærer du hovedbeklædning?,Draagt u een hoofddeksel?,Har du någon huvudbonad på dig?,Har du på deg hodeplagg?,Φοράτε κάτι στο κεφάλι σας;,Stai indossando un qualunque tipo di copricapo?,Tragen Sie Kopfbedeckung?,¿Tienes puesto o estás usando algo para la cabeza?,Portez-vous un chapeau ?,Are you wearing any headgear?,Are you wearing any headgear?
headgear,description,none,No headgear,Ingen hovedbeklædning,Geen hoofddeksel,Ingen huvudbonad,Ingen hodeplagg,Δεν υπάρχει κάτι στο κεφάλι.,Nessun copricapo,Keine Kopfbedeckung,Sin protección en la cabeza,Pas de chapeau,No headgear,No headgear
headgear,description,helmet,Wearing a hood of any fabric ..,Bærer hjelm eller hætte/hovedbeklædning af stof,Draagt een hoofddeksel van elk materiaal ..,Hjälm eller mössa av tyg,Hjelm eller hette i ethvert stoff,Φοράτε μια κουκούλα οποιουδήποτε υλικού,Cappuccio in qualsiasi tessuto,Helm oder Mütze aus jedem Stoff,Estas usando una capucha de cualquier tela.,Porte une capuche de n'importe quelle matière ..,Wearing a hood of any fabric ..,Wearing a hood of any fabric ..
headgear,label,none,None,Ingen,Geen,Ingen,Ingen,Κανένα,Niente,Keine,Ninguno,Aucun,None,None
headgear,label,helmet,Helmet or hood,Hjelm eller hætte,Helm of hoofddeksel,Hjälm eller mössa,Hjelm eller hette,Κράνος ή κουκούλα,Casco o cappuccio,Helm oder Mütze,Casco o capucha,Casque ou capuche,Helmet or hood,Helmet or hood
windspeed,description,no_wind,No wind,Ingen vind,Geen wind,Ingen vind,Ingen vind,Χωρίς άνεμο,Nessun vento,Kein Wind,Sin viento,Pas de vent,No wind,No wind
windspeed,description,some_wind,Some wind,Lidt vind,Enige wind,Måttlig vind,Litt vind,Λίγος άνεμος,Lieve vento,Leichter Wind,Algo de viento,Un peu de vent,Some wind,Some wind
windspeed,description,strong_wind,Strong wind,Stærk vind,Harde wind,Kraftig vind,Sterk vind,Δυνατός άνεμος,Vento forte,Starker Wind,Viento fuerte,Vent fort,Strong wind,Strong wind
